FOLIO;CONCEPTO;NUMEROABONO;IMPORTE;FECHAOPERACION;OBSERVACIONES;HIPERVINCULO
3;ABONO A ESTIMACIÓN;04;540;14/4/2023;EST 04;-
3;ABONO A ESTIMACIÓN;05;630;15/5/2023;EST 05;-
3;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
3;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
4;ESTIMACIÓN;01;4000;1/1/2023;EST 01;-
4;ESTIMACIÓN;02;5000;2/2/2023;EST 02;-
4;ESTIMACIÓN;03;6000;3/3/2023;EST 03;-
4;ESTIMACIÓN;04;7000;4/4/2023;EST 04;-
4;ESTIMACIÓN;05;8000;5/5/2023;EST 05;-
4;ABONO A ESTIMACIÓN;01;360;11/1/2023;EST 01;-
4;ABONO A ESTIMACIÓN;02;450;12/2/2023;EST 02;-
4;ABONO A ESTIMACIÓN;03;540;13/3/2023;EST 03;-
4;ABONO A ESTIMACIÓN;04;630;14/4/2023;EST 04;-
4;ABONO A ESTIMACIÓN;05;720;15/5/2023;EST 05;-
4;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
4;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
5;ESTIMACIÓN;01;5000;1/1/2023;EST 01;-
5;ESTIMACIÓN;02;6000;2/2/2023;EST 02;-
5;ESTIMACIÓN;03;7000;3/3/2023;EST 03;-
5;ESTIMACIÓN;04;8000;4/4/2023;EST 04;-
5;ESTIMACIÓN;05;9000;5/5/2023;EST 05;-
5;ABONO A ESTIMACIÓN;01;450;11/1/2023;EST 01;-
5;ABONO A ESTIMACIÓN;02;540;12/2/2023;EST 02;-
5;ABONO A ESTIMACIÓN;03;630;13/3/2023;EST 03;-
5;ABONO A ESTIMACIÓN;04;720;14/4/2023;EST 04;-
5;ABONO A ESTIMACIÓN;05;810;15/5/2023;EST 05;-
5;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
5;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
6;ESTIMACIÓN;01;6000;1/1/2023;EST 01;-
6;ESTIMACIÓN;02;7000;2/2/2023;EST 02;-
6;ESTIMACIÓN;03;8000;3/3/2023;EST 03;-
6;ESTIMACIÓN;04;9000;4/4/2023;EST 04;-
6;ESTIMACIÓN;05;10000;5/5/2023;EST 05;-
6;ABONO A ESTIMACIÓN;01;540;11/1/2023;EST 01;-
6;ABONO A ESTIMACIÓN;02;630;12/2/2023;EST 02;-
6;ABONO A ESTIMACIÓN;03;720;13/3/2023;EST 03;-
6;ABONO A ESTIMACIÓN;04;810;14/4/2023;EST 04;-
6;ABONO A ESTIMACIÓN;05;900;15/5/2023;EST 05;-
6;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
6;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
7;ESTIMACIÓN;01;7000;1/1/2023;EST 01;-
7;ESTIMACIÓN;02;8000;2/2/2023;EST 02;-
7;ESTIMACIÓN;03;9000;3/3/2023;EST 03;-
7;ESTIMACIÓN;04;10000;4/4/2023;EST 04;-
7;ESTIMACIÓN;05;11000;5/5/2023;EST 05;-
7;ABONO A ESTIMACIÓN;01;630;11/1/2023;EST 01;-
7;ABONO A ESTIMACIÓN;02;720;12/2/2023;EST 02;-
7;ABONO A ESTIMACIÓN;03;810;13/3/2023;EST 03;-
7;ABONO A ESTIMACIÓN;04;900;14/4/2023;EST 04;-
7;ABONO A ESTIMACIÓN;05;990;15/5/2023;EST 05;-
7;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
7;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
8;ESTIMACIÓN;01;8000;1/1/2023;EST 01;-
8;ESTIMACIÓN;02;9000;2/2/2023;EST 02;-
8;ESTIMACIÓN;03;10000;3/3/2023;EST 03;-
8;ESTIMACIÓN;04;11000;4/4/2023;EST 04;-
8;ESTIMACIÓN;05;12000;5/5/2023;EST 05;-
8;ABONO A ESTIMACIÓN;01;720;11/1/2023;EST 01;-
8;ABONO A ESTIMACIÓN;02;810;12/2/2023;EST 02;-
8;ABONO A ESTIMACIÓN;03;900;13/3/2023;EST 03;-
8;ABONO A ESTIMACIÓN;04;990;14/4/2023;EST 04;-
8;ABONO A ESTIMACIÓN;05;1080;15/5/2023;EST 05;-
8;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
8;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
9;ESTIMACIÓN;01;9000;1/1/2023;EST 01;-
9;ESTIMACIÓN;02;10000;2/2/2023;EST 02;-
9;ESTIMACIÓN;03;11000;3/3/2023;EST 03;-
9;ESTIMACIÓN;04;12000;4/4/2023;EST 04;-
9;ESTIMACIÓN;05;13000;5/5/2023;EST 05;-
9;ABONO A ESTIMACIÓN;01;810;11/1/2023;EST 01;-
9;ABONO A ESTIMACIÓN;02;900;12/2/2023;EST 02;-
9;ABONO A ESTIMACIÓN;03;990;13/3/2023;EST 03;-
9;ABONO A ESTIMACIÓN;04;1080;14/4/2023;EST 04;-
9;ABONO A ESTIMACIÓN;05;1170;15/5/2023;EST 05;-
9;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
9;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
10;ESTIMACIÓN;01;10000;1/1/2023;EST 01;-
10;ESTIMACIÓN;02;11000;2/2/2023;EST 02;-
10;ESTIMACIÓN;03;12000;3/3/2023;EST 03;-
10;ESTIMACIÓN;04;13000;4/4/2023;EST 04;-
10;ESTIMACIÓN;05;14000;5/5/2023;EST 05;-
10;ABONO A ESTIMACIÓN;01;900;11/1/2023;EST 01;-
10;ABONO A ESTIMACIÓN;02;990;12/2/2023;EST 02;-
10;ABONO A ESTIMACIÓN;03;1080;13/3/2023;EST 03;-
10;ABONO A ESTIMACIÓN;04;1170;14/4/2023;EST 04;-
10;ABONO A ESTIMACIÓN;05;1260;15/5/2023;EST 05;-
10;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
10;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
