FOLIO;CONCEPTO;NUMEROABONO;IMPORTE;FECHAOPERACION;OBSERVACIONES;HIPERVINCULO
3;ABONO A ESTIMACIÓN;02;7405.36;12/2/2023;EST 02;-
3;ABONO A ESTIMACIÓN;03;11108.04;13/3/2023;EST 03;-
3;ABONO A ESTIMACIÓN;04;14810.72;14/4/2023;EST 04;-
3;ABONO A ESTIMACIÓN;05;18513.4;15/5/2023;EST 05;-
3;ABONO A CONTRATO;01;120000;29/4/2023;ABONO A ANTICIPO;-
3;ABONO A CONTRATO;02;42220.92;30/5/2023;ABONO;-
4;ESTIMACIÓN;01;8000;1/1/2023;EST 01;-
4;ESTIMACIÓN;02;16000;2/2/2023;EST 02;-
4;ESTIMACIÓN;03;24000;3/3/2023;EST 03;-
4;ESTIMACIÓN;04;32000;4/4/2023;EST 04;-
4;ESTIMACIÓN;05;40000;5/5/2023;EST 05;-
4;ABONO A ESTIMACIÓN;01;7405.36;11/1/2023;EST 01;-
4;ABONO A ESTIMACIÓN;02;14810.72;12/2/2023;EST 02;-
4;ABONO A ESTIMACIÓN;03;22216.08;13/3/2023;EST 03;-
4;ABONO A ESTIMACIÓN;04;29621.44;14/4/2023;EST 04;-
4;ABONO A ESTIMACIÓN;05;37026.8;15/5/2023;EST 05;-
4;ABONO A CONTRATO;01;240000;29/4/2023;ABONO A ANTICIPO;-
4;ABONO A CONTRATO;02;84441.84;30/5/2023;ABONO;-
5;ESTIMACIÓN;01;16000;1/1/2023;EST 01;-
5;ESTIMACIÓN;02;32000;2/2/2023;EST 02;-
5;ESTIMACIÓN;03;48000;3/3/2023;EST 03;-
5;ESTIMACIÓN;04;64000;4/4/2023;EST 04;-
5;ESTIMACIÓN;05;80000;5/5/2023;EST 05;-
5;ABONO A ESTIMACIÓN;01;14810.72;11/1/2023;EST 01;-
5;ABONO A ESTIMACIÓN;02;29621.44;12/2/2023;EST 02;-
5;ABONO A ESTIMACIÓN;03;44432.16;13/3/2023;EST 03;-
5;ABONO A ESTIMACIÓN;04;59242.88;14/4/2023;EST 04;-
5;ABONO A ESTIMACIÓN;05;74053.6;15/5/2023;EST 05;-
5;ABONO A CONTRATO;01;480000;29/4/2023;ABONO A ANTICIPO;-
5;ABONO A CONTRATO;02;168883.68;30/5/2023;ABONO;-
6;ESTIMACIÓN;01;32000;1/1/2023;EST 01;-
6;ESTIMACIÓN;02;64000;2/2/2023;EST 02;-
6;ESTIMACIÓN;03;96000;3/3/2023;EST 03;-
6;ESTIMACIÓN;04;128000;4/4/2023;EST 04;-
6;ESTIMACIÓN;05;160000;5/5/2023;EST 05;-
6;ABONO A ESTIMACIÓN;01;29621.44;11/1/2023;EST 01;-
6;ABONO A ESTIMACIÓN;02;59242.88;12/2/2023;EST 02;-
6;ABONO A ESTIMACIÓN;03;88864.32;13/3/2023;EST 03;-
6;ABONO A ESTIMACIÓN;04;118485.76;14/4/2023;EST 04;-
6;ABONO A ESTIMACIÓN;05;148107.2;15/5/2023;EST 05;-
6;ABONO A CONTRATO;01;960000;29/4/2023;ABONO A ANTICIPO;-
6;ABONO A CONTRATO;02;337767.36;30/5/2023;ABONO;-
7;ESTIMACIÓN;01;64000;1/1/2023;EST 01;-
7;ESTIMACIÓN;02;128000;2/2/2023;EST 02;-
7;ESTIMACIÓN;03;192000;3/3/2023;EST 03;-
7;ESTIMACIÓN;04;256000;4/4/2023;EST 04;-
7;ESTIMACIÓN;05;320000;5/5/2023;EST 05;-
7;ABONO A ESTIMACIÓN;01;59242.88;11/1/2023;EST 01;-
7;ABONO A ESTIMACIÓN;02;118485.76;12/2/2023;EST 02;-
7;ABONO A ESTIMACIÓN;03;177728.64;13/3/2023;EST 03;-
7;ABONO A ESTIMACIÓN;04;236971.52;14/4/2023;EST 04;-
7;ABONO A ESTIMACIÓN;05;296214.4;15/5/2023;EST 05;-
7;ABONO A CONTRATO;01;1920000;29/4/2023;ABONO A ANTICIPO;-
7;ABONO A CONTRATO;02;675534.72;30/5/2023;ABONO;-
8;ESTIMACIÓN;01;128000;1/1/2023;EST 01;-
8;ESTIMACIÓN;02;256000;2/2/2023;EST 02;-
8;ESTIMACIÓN;03;384000;3/3/2023;EST 03;-
8;ESTIMACIÓN;04;512000;4/4/2023;EST 04;-
8;ESTIMACIÓN;05;640000;5/5/2023;EST 05;-
8;ABONO A ESTIMACIÓN;01;118485.76;11/1/2023;EST 01;-
8;ABONO A ESTIMACIÓN;02;236971.52;12/2/2023;EST 02;-
8;ABONO A ESTIMACIÓN;03;355457.28;13/3/2023;EST 03;-
8;ABONO A ESTIMACIÓN;04;473943.04;14/4/2023;EST 04;-
8;ABONO A ESTIMACIÓN;05;592428.8;15/5/2023;EST 05;-
8;ABONO A CONTRATO;01;3840000;29/4/2023;ABONO A ANTICIPO;-
8;ABONO A CONTRATO;02;1351069.44;30/5/2023;ABONO;-
9;ESTIMACIÓN;01;256000;1/1/2023;EST 01;-
9;ESTIMACIÓN;02;512000;2/2/2023;EST 02;-
9;ESTIMACIÓN;03;768000;3/3/2023;EST 03;-
9;ESTIMACIÓN;04;1024000;4/4/2023;EST 04;-
9;ESTIMACIÓN;05;1280000;5/5/2023;EST 05;-
9;ABONO A ESTIMACIÓN;01;236971.52;11/1/2023;EST 01;-
9;ABONO A ESTIMACIÓN;02;473943.04;12/2/2023;EST 02;-
9;ABONO A ESTIMACIÓN;03;710914.56;13/3/2023;EST 03;-
9;ABONO A ESTIMACIÓN;04;947886.08;14/4/2023;EST 04;-
9;ABONO A ESTIMACIÓN;05;1184857.6;15/5/2023;EST 05;-
9;ABONO A CONTRATO;01;7680000;29/4/2023;ABONO A ANTICIPO;-
9;ABONO A CONTRATO;02;2702138.88;30/5/2023;ABONO;-
10;ESTIMACIÓN;01;512000;1/1/2023;EST 01;-
10;ESTIMACIÓN;02;1024000;2/2/2023;EST 02;-
10;ESTIMACIÓN;03;1536000;3/3/2023;EST 03;-
10;ESTIMACIÓN;04;2048000;4/4/2023;EST 04;-
10;ESTIMACIÓN;05;2560000;5/5/2023;EST 05;-
10;ABONO A ESTIMACIÓN;01;473943.04;11/1/2023;EST 01;-
10;ABONO A ESTIMACIÓN;02;947886.08;12/2/2023;EST 02;-
10;ABONO A ESTIMACIÓN;03;1421829.12;13/3/2023;EST 03;-
10;ABONO A ESTIMACIÓN;04;1895772.16;14/4/2023;EST 04;-
10;ABONO A ESTIMACIÓN;05;2369715.2;15/5/2023;EST 05;-
10;ABONO A CONTRATO;01;15360000;29/4/2023;ABONO A ANTICIPO;-
10;ABONO A CONTRATO;02;5404277.76;30/5/2023;ABONO;-
